"X-Angle(бу)","Y-Angle(бу)","Z-Angle(бу)"
3.774000,0.426000,10.388371
3.774000,0.426000,10.388371
3.774000,0.426000,10.388371
3.774000,0.426000,10.388371
3.774000,0.426000,10.388371
-4.102000,5.728000,11.861046
-4.102000,5.728000,11.861046
-4.102000,5.728000,11.861046
-4.102000,5.728000,11.861046
-4.102000,5.728000,11.861046
5.660000,8.092000,12.603030
5.660000,8.092000,12.603030
5.660000,8.092000,12.603030
5.660000,8.092000,12.603030
5.660000,8.092000,12.603030
-0.346000,2.900000,10.602960
-0.346000,2.900000,10.602960
-0.346000,2.900000,10.602960
-0.346000,2.900000,10.602960
-0.346000,2.900000,10.602960
0.044000,-1.340000,10.749305
0.044000,-1.340000,10.749305
0.044000,-1.340000,10.749305
0.044000,-1.340000,10.749305
0.044000,-1.340000,10.749305
0.084000,8.206000,16.674168
0.084000,8.206000,16.674168
0.084000,8.206000,16.674168
0.084000,8.206000,16.674168
0.084000,8.206000,16.674168
-4.688000,1.688000,7.175288
-4.688000,1.688000,7.175288
-4.688000,1.688000,7.175288
-4.688000,1.688000,7.175288
-4.688000,1.688000,7.175288
-1.000000,9.550000,16.553707
-1.000000,9.550000,16.553707
-1.000000,9.550000,16.553707
-1.000000,9.550000,16.553707
-1.000000,9.550000,16.553707
4.086000,-1.812000,12.590881
4.086000,-1.812000,12.590881
4.086000,-1.812000,12.590881
4.086000,-1.812000,12.590881
4.086000,-1.812000,12.590881
-6.008000,0.442000,10.845285
-6.008000,0.442000,10.845285
-6.008000,0.442000,10.845285
-6.008000,0.442000,10.845285
-6.008000,0.442000,10.845285
3.266000,-0.912000,10.587707
3.266000,-0.912000,10.587707
3.266000,-0.912000,10.587707
3.266000,-0.912000,10.587707
3.266000,-0.912000,10.587707
-0.270000,1.022000,14.676299
-0.270000,1.022000,14.676299
-0.270000,1.022000,14.676299
-0.270000,1.022000,14.676299
-0.270000,1.022000,14.676299
5.854000,-7.136000,12.793592
5.854000,-7.136000,12.793592
5.854000,-7.136000,12.793592
5.854000,-7.136000,12.793592
5.854000,-7.136000,12.793592
5.340000,7.046000,11.833838
5.340000,7.046000,11.833838
5.340000,7.046000,11.833838
5.340000,7.046000,11.833838
5.340000,7.046000,11.833838
-0.786000,0.318000,15.738722
-0.786000,0.318000,15.738722
-0.786000,0.318000,15.738722
-0.786000,0.318000,15.738722
-0.786000,0.318000,15.738722
5.812000,-2.420000,10.955473
5.812000,-2.420000,10.955473
5.812000,-2.420000,10.955473
5.812000,-2.420000,10.955473
5.812000,-2.420000,10.955473
-5.106000,-0.578000,12.250097
-5.106000,-0.578000,12.250097
-5.106000,-0.578000,12.250097
-5.106000,-0.578000,12.250097
-5.106000,-0.578000,12.250097
2.438000,-3.344000,11.200516
2.438000,-3.344000,11.200516
2.438000,-3.344000,11.200516
2.438000,-3.344000,11.200516
2.438000,-3.344000,11.200516
5.184000,-6.094000,13.698507
5.184000,-6.094000,13.698507
5.184000,-6.094000,13.698507
5.184000,-6.094000,13.698507
5.184000,-6.094000,13.698507
4.282000,0.034000,9.649228
4.282000,0.034000,9.649228
4.282000,0.034000,9.649228
4.282000,0.034000,9.649228
4.282000,0.034000,9.649228
-0.340000,-8.044000,11.420043
-0.340000,-8.044000,11.420043
-0.340000,-8.044000,11.420043
-0.340000,-8.044000,11.420043
-0.340000,-8.044000,11.420043
4.866000,7.536000,11.374732
4.866000,7.536000,11.374732
4.866000,7.536000,11.374732
4.866000,7.536000,11.374732
4.866000,7.536000,11.374732
1.228000,9.988000,11.918115
1.228000,9.988000,11.918115
1.228000,9.988000,11.918115
1.228000,9.988000,11.918115
1.228000,9.988000,11.918115
2.898000,0.412000,7.302687
2.898000,0.412000,7.302687
2.898000,0.412000,7.302687
2.898000,0.412000,7.302687
2.898000,0.412000,7.302687
6.182000,-2.098000,12.099272
6.182000,-2.098000,12.099272
6.182000,-2.098000,12.099272
6.182000,-2.098000,12.099272
6.182000,-2.098000,12.099272
-5.098000,9.502000,11.704455
-5.098000,9.502000,11.704455
-5.098000,9.502000,11.704455
-5.098000,9.502000,11.704455
-5.098000,9.502000,11.704455
-1.988000,-0.632000,8.219255
-1.988000,-0.632000,8.219255
-1.988000,-0.632000,8.219255
-1.988000,-0.632000,8.219255
-1.988000,-0.632000,8.219255
-5.814000,-1.918000,11.243212
-5.814000,-1.918000,11.243212
-5.814000,-1.918000,11.243212
-5.814000,-1.918000,11.243212
-5.814000,-1.918000,11.243212
2.730000,0.252000,12.831336
2.730000,0.252000,12.831336
2.730000,0.252000,12.831336
2.730000,0.252000,12.831336
2.730000,0.252000,12.831336
0.790000,-2.814000,11.307448
0.790000,-2.814000,11.307448
0.790000,-2.814000,11.307448
0.790000,-2.814000,11.307448
0.790000,-2.814000,11.307448
0.500000,1.018000,14.458756
0.500000,1.018000,14.458756
0.500000,1.018000,14.458756
0.500000,1.018000,14.458756
0.500000,1.018000,14.458756
-0.346000,1.912000,13.694160
-0.346000,1.912000,13.694160
-0.346000,1.912000,13.694160
-0.346000,1.912000,13.694160
-0.346000,1.912000,13.694160
-1.310000,4.512000,13.628282
-1.310000,4.512000,13.628282
-1.310000,4.512000,13.628282
