"X-Angle(бу)","Y-Angle(бу)","Z-Angle(бу)"
6.360000,8.500000,10.560870
-3.320000,-13.320000,13.699350
4.010000,-4.770000,6.219746
-3.220000,1.930000,3.752019
15.040000,9.790000,17.709870
-9.320000,13.930000,16.563019
1.950000,2.240000,2.968562
6.020000,11.750000,13.127138
-4.920000,-8.570000,9.845784
-14.240000,9.290000,16.800725
13.200000,13.320000,18.431563
9.170000,9.250000,12.915117
-5.400000,5.240000,7.503006
14.710000,4.450000,15.313571
-3.380000,8.200000,8.851891
-0.850000,-4.460000,4.539634
-10.270000,-4.960000,11.359598
6.610000,5.310000,8.449442
-9.620000,9.840000,13.631915
12.400000,8.770000,15.034209
-13.350000,3.810000,13.846196
10.240000,-4.460000,11.131819
-7.990000,-12.450000,14.661144
1.210000,-1.080000,1.621668
10.110000,7.480000,12.485696
13.330000,15.570000,20.090650
10.460000,15.270000,18.240632
-9.500000,10.390000,13.941200
-13.380000,-12.970000,18.319570
-0.490000,12.770000,12.778790
-4.690000,-3.270000,5.709109
-7.550000,0.520000,7.567476
0.650000,1.800000,1.913621
-1.160000,-3.780000,3.953000
-10.690000,13.170000,16.733236
-14.910000,-1.510000,14.979620
14.800000,9.620000,17.427363
9.620000,15.360000,17.888994
0.230000,15.510000,15.511544
-14.740000,8.770000,16.961015
3.550000,7.460000,8.244518
5.000000,-9.300000,10.517889
-6.790000,-12.870000,14.447613
5.470000,-8.940000,10.434975
13.200000,14.590000,19.309411
0.600000,8.280000,8.301113
-10.910000,6.050000,12.405677
-12.660000,-1.170000,12.710527
3.440000,2.290000,4.129474
-10.510000,-13.240000,16.679635
7.900000,4.570000,9.097908
1.080000,11.170000,11.219504
5.360000,-12.890000,13.892349
3.760000,-12.670000,13.182111
-1.770000,5.260000,5.546661
-12.760000,-14.010000,18.621697
-9.610000,11.650000,14.938169
-7.200000,5.630000,9.103715
12.870000,-5.400000,13.888493
15.350000,7.240000,16.829422
12.060000,8.210000,14.456383
0.780000,-13.800000,13.820371
-0.560000,-6.370000,6.394166
6.080000,-12.590000,13.898257
10.910000,-11.130000,15.398785
6.040000,14.950000,16.024846
13.220000,12.870000,18.144068
-4.670000,0.340000,4.682252
-3.500000,1.730000,3.902312
15.610000,5.340000,16.415714
-11.080000,12.770000,16.674404
-12.890000,3.990000,13.454597
10.820000,10.790000,15.104441
-5.590000,-13.220000,14.278101
14.810000,-12.740000,19.182066
-2.200000,-2.430000,3.276173
9.670000,0.620000,9.689113
-4.230000,-10.150000,10.962657
11.970000,-8.780000,14.697759
13.850000,8.640000,16.151662
-4.400000,-8.460000,9.506643
-6.310000,10.700000,12.348920
-14.990000,-2.310000,15.151417
-1.920000,-13.370000,13.497509
2.090000,10.550000,10.745998
1.740000,-5.920000,6.166940
11.540000,-6.200000,13.022436
-9.450000,-2.930000,9.878283
-0.610000,-12.780000,12.793608
8.970000,11.110000,14.141312
8.920000,-14.690000,16.990592
14.580000,-7.210000,16.132004
1.200000,-3.940000,4.117590
15.740000,-5.830000,16.686948
-14.520000,1.200000,14.565401
1.940000,4.240000,4.659808
-0.550000,4.460000,4.493513
1.900000,11.930000,12.071895
6.410000,-6.660000,9.203949
11.710000,-13.800000,17.816976
0.990000,-8.630000,8.684911
15.450000,-7.950000,17.205811
-12.950000,-11.510000,17.074540
1.100000,-1.630000,1.966112
-6.290000,-10.500000,12.168844
-1.070000,12.950000,12.991202
7.730000,3.870000,8.623821
4.460000,7.880000,9.027199
14.370000,1.220000,14.417498
-1.160000,11.760000,11.813939
-3.420000,15.930000,16.257365
3.030000,10.750000,11.149902
-4.860000,1.880000,5.207709
10.220000,6.470000,12.023766
1.170000,14.910000,14.951836
11.930000,-8.870000,14.717236
2.090000,5.130000,5.535207
-3.330000,-0.650000,3.392565
-3.300000,-0.030000,3.300136
7.100000,6.480000,9.568292
-9.010000,9.370000,12.890009
3.710000,-1.320000,3.936595
6.700000,-11.440000,13.169578
14.910000,-5.550000,15.824992
14.600000,-1.550000,14.675183
-4.490000,11.570000,12.367431
-8.880000,3.950000,9.693507
1.800000,13.520000,13.630714
-2.690000,3.520000,4.426081
-11.230000,14.950000,18.404543
-7.210000,-6.900000,9.929924
-5.240000,3.220000,6.140929
-4.340000,-3.310000,5.450527
7.520000,-6.090000,9.633184
-0.670000,9.920000,9.941711
-13.660000,3.440000,14.055537
-4.630000,-6.270000,7.772422
-11.840000,-10.390000,15.563014
-8.240000,-1.300000,8.339153
9.300000,4.930000,10.485935
11.650000,8.180000,14.108623
-11.590000,0.860000,11.620161
10.000000,-0.080000,10.000307
13.740000,-11.470000,17.627086
-10.150000,3.770000,10.800501
1.500000,2.530000,2.940248
-14.870000,-11.170000,18.309098
12.690000,11.920000,17.152992
2.910000,-5.970000,6.632285
1.720000,-11.380000,11.502617
14.200000,-12.930000,18.863613
0.950000,-14.900000,14.927617
1.420000,12.850000,12.923117
-8.220000,5.190000,9.683772
-5.850000,14.880000,15.895662
-6.690000,10.700000,12.538446
-7.570000,-2.420000,7.938908
10.150000,-14.610000,17.548245
12.270000,0.350000,12.274692
-9.890000,15.540000,18.170511
-13.150000,3.470000,13.569834
-11.700000,-3.920000,12.305321
9.730000,-1.670000,9.866919
14.280000,11.300000,17.931099
-5.710000,13.380000,14.468239
2.600000,8.840000,9.202918
12.770000,9.610000,15.796511
5.170000,3.460000,6.210577
-1.930000,9.700000,9.883045
-5.360000,11.870000,12.962356
-3.220000,-12.030000,12.429545
-0.240000,-2.180000,2.193146
-14.330000,8.530000,16.500931
-12.490000,14.670000,18.928234
5.610000,12.200000,13.358855
-3.040000,12.850000,13.181805
2.120000,-6.080000,6.433796
8.380000,10.690000,13.465780
-4.480000,-6.730000,8.062109
7.930000,-1.150000,8.010864
10.830000,-8.600000,13.704817
1.800000,8.140000,8.331464
10.390000,-4.280000,11.201877
15.530000,9.900000,18.167218
10.650000,-8.540000,13.530852
-12.860000,2.230000,13.039430
11.820000,-12.540000,16.982742
-1.390000,-10.600000,10.686693
1.740000,-12.700000,12.811089
-1.090000,-13.000000,13.042568
-4.180000,-7.300000,8.389763
0.340000,5.540000,5.550294
-14.520000,7.060000,16.017636
11.160000,-1.190000,11.220133
-13.190000,-10.210000,16.466442
13.630000,6.900000,15.162931
3.520000,-2.050000,4.070848
1.200000,-10.220000,10.287286
7.210000,-13.620000,15.287405
-3.860000,-1.930000,4.313006
1.450000,-2.760000,3.116666
-3.050000,14.640000,14.928111
-7.630000,9.220000,11.885148
-6.370000,0.890000,6.430865
-8.120000,7.620000,11.066693
-8.680000,1.110000,8.748555
-12.060000,-12.390000,17.037269
-7.060000,9.220000,11.539695
2.370000,15.520000,15.683029
14.560000,-8.390000,16.630322
13.120000,-6.550000,14.564681
-3.000000,12.940000,13.260739
3.700000,-6.030000,7.060468
-4.980000,5.600000,7.473092
